generation,fe,point_id,makespan,energy
0,100,1,101.0,6290.0
0,100,2,102.0,6090.0
1,200,1,98.0,6377.0
1,200,2,100.0,6237.0
1,200,3,102.0,6090.0
2,300,1,93.0,6083.0
3,400,1,93.0,6083.0
3,400,2,118.0,6014.0
4,500,1,91.0,6196.0
4,500,2,93.0,6083.0
4,500,3,96.0,5866.0
5,600,1,90.0,5804.0
5,600,2,102.0,5762.0
6,700,1,75.0,5841.0
6,700,2,90.0,5804.0
6,700,3,101.0,5766.0
6,700,4,102.0,5762.0
6,700,5,110.0,5753.0
7,800,1,75.0,5841.0
7,800,2,90.0,5804.0
7,800,3,91.0,5727.0
8,900,1,75.0,5841.0
8,900,2,90.0,5804.0
8,900,3,91.0,5727.0
9,1000,1,75.0,5841.0
9,1000,2,90.0,5804.0
9,1000,3,91.0,5727.0
10,1100,1,75.0,5841.0
10,1100,2,88.0,5727.0
11,1200,1,75.0,5841.0
11,1200,2,83.0,5711.0
12,1300,1,75.0,5841.0
12,1300,2,83.0,5711.0
13,1400,1,74.0,5820.0
13,1400,2,83.0,5707.0
14,1500,1,74.0,5820.0
14,1500,2,83.0,5707.0
15,1600,1,74.0,5820.0
15,1600,2,79.0,5806.0
15,1600,3,81.0,5795.0
15,1600,4,82.0,5794.0
15,1600,5,83.0,5707.0
16,1700,1,74.0,5820.0
16,1700,2,79.0,5806.0
16,1700,3,81.0,5795.0
16,1700,4,82.0,5794.0
16,1700,5,83.0,5707.0
16,1700,6,85.0,5696.0
17,1800,1,74.0,5820.0
17,1800,2,79.0,5806.0
17,1800,3,81.0,5795.0
17,1800,4,82.0,5773.0
17,1800,5,83.0,5707.0
17,1800,6,85.0,5696.0
18,1900,1,74.0,5820.0
18,1900,2,79.0,5806.0
18,1900,3,81.0,5795.0
18,1900,4,82.0,5773.0
18,1900,5,83.0,5707.0
18,1900,6,85.0,5696.0
19,2000,1,74.0,5816.0
19,2000,2,79.0,5806.0
19,2000,3,81.0,5795.0
19,2000,4,82.0,5773.0
19,2000,5,83.0,5707.0
19,2000,6,84.0,5706.0
19,2000,7,85.0,5696.0
20,2100,1,74.0,5816.0
20,2100,2,79.0,5806.0
20,2100,3,81.0,5795.0
20,2100,4,82.0,5773.0
20,2100,5,83.0,5707.0
20,2100,6,84.0,5706.0
20,2100,7,85.0,5696.0
21,2200,1,74.0,5816.0
21,2200,2,79.0,5806.0
21,2200,3,81.0,5795.0
21,2200,4,82.0,5773.0
21,2200,5,83.0,5707.0
21,2200,6,84.0,5706.0
21,2200,7,85.0,5696.0
22,2300,1,74.0,5816.0
22,2300,2,79.0,5781.0
22,2300,3,82.0,5773.0
22,2300,4,83.0,5707.0
22,2300,5,84.0,5706.0
22,2300,6,85.0,5696.0
23,2400,1,74.0,5816.0
23,2400,2,79.0,5781.0
23,2400,3,82.0,5773.0
23,2400,4,83.0,5707.0
23,2400,5,84.0,5706.0
23,2400,6,85.0,5696.0
24,2500,1,74.0,5816.0
24,2500,2,79.0,5781.0
24,2500,3,82.0,5773.0
24,2500,4,83.0,5707.0
24,2500,5,84.0,5706.0
24,2500,6,85.0,5696.0
25,2600,1,74.0,5816.0
25,2600,2,79.0,5781.0
25,2600,3,81.0,5701.0
25,2600,4,85.0,5696.0
26,2700,1,74.0,5816.0
26,2700,2,79.0,5781.0
26,2700,3,81.0,5701.0
26,2700,4,85.0,5696.0
27,2800,1,74.0,5816.0
27,2800,2,79.0,5781.0
27,2800,3,81.0,5701.0
27,2800,4,85.0,5696.0
28,2900,1,74.0,5816.0
28,2900,2,78.0,5795.0
28,2900,3,79.0,5781.0
28,2900,4,81.0,5701.0
28,2900,5,85.0,5696.0
29,3000,1,74.0,5816.0
29,3000,2,78.0,5795.0
29,3000,3,79.0,5781.0
29,3000,4,81.0,5701.0
29,3000,5,85.0,5694.0
30,3100,1,74.0,5816.0
30,3100,2,78.0,5779.0
30,3100,3,81.0,5701.0
30,3100,4,82.0,5696.0
30,3100,5,85.0,5694.0
31,3200,1,74.0,5816.0
31,3200,2,78.0,5779.0
31,3200,3,81.0,5701.0
31,3200,4,82.0,5696.0
31,3200,5,85.0,5694.0
32,3300,1,74.0,5816.0
32,3300,2,78.0,5779.0
32,3300,3,81.0,5701.0
32,3300,4,82.0,5696.0
32,3300,5,85.0,5694.0
33,3400,1,74.0,5816.0
33,3400,2,78.0,5779.0
33,3400,3,81.0,5701.0
33,3400,4,82.0,5696.0
33,3400,5,85.0,5694.0
34,3500,1,74.0,5816.0
34,3500,2,78.0,5779.0
34,3500,3,81.0,5701.0
34,3500,4,82.0,5696.0
34,3500,5,85.0,5694.0
35,3600,1,74.0,5816.0
35,3600,2,78.0,5779.0
35,3600,3,81.0,5701.0
35,3600,4,82.0,5696.0
35,3600,5,85.0,5694.0
36,3700,1,71.0,5845.0
36,3700,2,74.0,5816.0
36,3700,3,78.0,5779.0
36,3700,4,81.0,5701.0
36,3700,5,82.0,5696.0
36,3700,6,85.0,5694.0
37,3800,1,71.0,5845.0
37,3800,2,74.0,5816.0
37,3800,3,78.0,5779.0
37,3800,4,81.0,5701.0
37,3800,5,82.0,5696.0
37,3800,6,85.0,5694.0
38,3900,1,71.0,5845.0
38,3900,2,74.0,5816.0
38,3900,3,78.0,5779.0
38,3900,4,81.0,5701.0
38,3900,5,82.0,5696.0
38,3900,6,85.0,5694.0
39,4000,1,71.0,5845.0
39,4000,2,74.0,5816.0
39,4000,3,78.0,5779.0
39,4000,4,81.0,5701.0
39,4000,5,82.0,5696.0
39,4000,6,85.0,5694.0
40,4100,1,71.0,5845.0
40,4100,2,74.0,5816.0
40,4100,3,77.0,5679.0
41,4200,1,71.0,5845.0
41,4200,2,74.0,5816.0
41,4200,3,75.0,5766.0
41,4200,4,77.0,5679.0
42,4300,1,71.0,5845.0
42,4300,2,74.0,5816.0
42,4300,3,75.0,5766.0
42,4300,4,77.0,5679.0
43,4400,1,71.0,5845.0
43,4400,2,74.0,5816.0
43,4400,3,75.0,5766.0
43,4400,4,77.0,5679.0
44,4500,1,71.0,5754.0
44,4500,2,77.0,5679.0
45,4600,1,71.0,5754.0
45,4600,2,77.0,5679.0
46,4700,1,71.0,5754.0
46,4700,2,77.0,5679.0
47,4800,1,71.0,5754.0
47,4800,2,77.0,5679.0
48,4900,1,71.0,5754.0
48,4900,2,77.0,5679.0
49,5000,1,71.0,5754.0
49,5000,2,77.0,5679.0
50,5100,1,71.0,5754.0
50,5100,2,77.0,5679.0
51,5200,1,71.0,5754.0
51,5200,2,77.0,5679.0
52,5300,1,71.0,5754.0
52,5300,2,77.0,5679.0
53,5400,1,71.0,5754.0
53,5400,2,77.0,5679.0
54,5500,1,71.0,5754.0
54,5500,2,77.0,5679.0
55,5600,1,71.0,5754.0
55,5600,2,77.0,5679.0
56,5700,1,71.0,5754.0
56,5700,2,77.0,5679.0
57,5800,1,71.0,5751.0
57,5800,2,77.0,5679.0
58,5900,1,71.0,5751.0
58,5900,2,77.0,5679.0
59,6000,1,71.0,5751.0
59,6000,2,77.0,5679.0
60,6100,1,71.0,5751.0
60,6100,2,77.0,5679.0
61,6200,1,71.0,5751.0
61,6200,2,77.0,5679.0
62,6300,1,71.0,5751.0
62,6300,2,77.0,5679.0
63,6400,1,71.0,5751.0
63,6400,2,77.0,5679.0
64,6500,1,71.0,5751.0
64,6500,2,77.0,5679.0
65,6600,1,71.0,5751.0
65,6600,2,77.0,5679.0
66,6700,1,71.0,5751.0
66,6700,2,77.0,5679.0
67,6800,1,71.0,5751.0
67,6800,2,77.0,5679.0
68,6900,1,71.0,5751.0
68,6900,2,77.0,5679.0
69,7000,1,71.0,5751.0
69,7000,2,77.0,5679.0
70,7100,1,71.0,5751.0
70,7100,2,77.0,5679.0
71,7200,1,71.0,5751.0
71,7200,2,77.0,5679.0
72,7300,1,71.0,5751.0
72,7300,2,77.0,5679.0
73,7400,1,71.0,5751.0
73,7400,2,77.0,5679.0
74,7500,1,71.0,5751.0
74,7500,2,77.0,5679.0
75,7600,1,71.0,5751.0
75,7600,2,77.0,5679.0
76,7700,1,71.0,5751.0
76,7700,2,77.0,5679.0
77,7800,1,71.0,5751.0
77,7800,2,77.0,5679.0
78,7900,1,71.0,5751.0
78,7900,2,77.0,5679.0
79,8000,1,71.0,5751.0
79,8000,2,77.0,5679.0
80,8100,1,71.0,5751.0
80,8100,2,77.0,5679.0
