generation,fe,point_id,makespan,energy
0,100,1,107.0,6490.0
0,100,2,112.0,6469.0
0,100,3,117.0,6344.0
0,100,4,119.0,6317.0
0,100,5,127.0,6287.0
0,100,6,132.0,6270.0
0,100,7,143.0,6259.0
0,100,8,155.0,6241.0
1,200,1,95.0,6402.0
1,200,2,106.0,6247.0
1,200,3,110.0,6221.0
1,200,4,170.0,6209.0
2,300,1,95.0,6402.0
2,300,2,99.0,6137.0
2,300,3,115.0,6126.0
3,400,1,93.0,6273.0
3,400,2,95.0,6151.0
3,400,3,96.0,6123.0
3,400,4,102.0,6074.0
4,500,1,93.0,6273.0
4,500,2,94.0,6155.0
4,500,3,95.0,6151.0
4,500,4,96.0,6123.0
4,500,5,102.0,6074.0
4,500,6,116.0,6022.0
4,500,7,120.0,5889.0
5,600,1,90.0,6023.0
5,600,2,99.0,5989.0
5,600,3,100.0,5988.0
5,600,4,105.0,5871.0
6,700,1,90.0,5970.0
6,700,2,98.0,5917.0
6,700,3,105.0,5871.0
7,800,1,88.0,5958.0
7,800,2,98.0,5879.0
7,800,3,105.0,5871.0
7,800,4,107.0,5836.0
8,900,1,81.0,5699.0
9,1000,1,79.0,5691.0
10,1100,1,77.0,5746.0
10,1100,2,79.0,5691.0
11,1200,1,77.0,5746.0
11,1200,2,79.0,5691.0
12,1300,1,77.0,5746.0
12,1300,2,79.0,5687.0
13,1400,1,77.0,5746.0
13,1400,2,78.0,5692.0
13,1400,3,79.0,5687.0
14,1500,1,77.0,5746.0
14,1500,2,78.0,5692.0
14,1500,3,79.0,5687.0
15,1600,1,75.0,5674.0
16,1700,1,75.0,5669.0
17,1800,1,75.0,5669.0
18,1900,1,75.0,5669.0
19,2000,1,75.0,5669.0
20,2100,1,75.0,5669.0
21,2200,1,75.0,5669.0
22,2300,1,75.0,5669.0
23,2400,1,75.0,5669.0
24,2500,1,75.0,5669.0
25,2600,1,75.0,5669.0
26,2700,1,75.0,5669.0
27,2800,1,75.0,5669.0
28,2900,1,75.0,5669.0
29,3000,1,75.0,5669.0
30,3100,1,75.0,5669.0
31,3200,1,75.0,5669.0
32,3300,1,75.0,5669.0
33,3400,1,74.0,5700.0
33,3400,2,75.0,5669.0
34,3500,1,74.0,5694.0
34,3500,2,75.0,5669.0
35,3600,1,74.0,5694.0
35,3600,2,75.0,5669.0
36,3700,1,74.0,5694.0
36,3700,2,75.0,5669.0
37,3800,1,74.0,5694.0
37,3800,2,75.0,5669.0
38,3900,1,74.0,5694.0
38,3900,2,75.0,5669.0
39,4000,1,74.0,5694.0
39,4000,2,75.0,5669.0
40,4100,1,74.0,5694.0
40,4100,2,75.0,5669.0
41,4200,1,74.0,5694.0
41,4200,2,75.0,5669.0
42,4300,1,74.0,5694.0
42,4300,2,75.0,5669.0
43,4400,1,73.0,5817.0
43,4400,2,74.0,5694.0
