generation,fe,point_id,makespan,energy
0,100,1,94.0,5917.0
1,200,1,92.0,6161.0
1,200,2,94.0,5917.0
2,300,1,92.0,6161.0
2,300,2,94.0,5917.0
3,400,1,92.0,6161.0
3,400,2,94.0,5917.0
4,500,1,91.0,6208.0
4,500,2,92.0,6161.0
4,500,3,93.0,5894.0
4,500,4,112.0,5872.0
5,600,1,85.0,5754.0
6,700,1,80.0,5831.0
6,700,2,85.0,5754.0
7,800,1,80.0,5831.0
7,800,2,85.0,5754.0
8,900,1,80.0,5744.0
9,1000,1,80.0,5744.0
9,1000,2,88.0,5728.0
10,1100,1,76.0,5717.0
10,1100,2,77.0,5674.0
11,1200,1,75.0,5669.0
12,1300,1,70.0,5700.0
12,1300,2,75.0,5669.0
13,1400,1,70.0,5700.0
13,1400,2,75.0,5669.0
14,1500,1,70.0,5700.0
14,1500,2,75.0,5669.0
15,1600,1,70.0,5700.0
15,1600,2,75.0,5669.0
16,1700,1,70.0,5700.0
16,1700,2,75.0,5669.0
17,1800,1,70.0,5700.0
17,1800,2,75.0,5669.0
18,1900,1,70.0,5700.0
18,1900,2,75.0,5669.0
19,2000,1,70.0,5700.0
19,2000,2,75.0,5669.0
20,2100,1,70.0,5700.0
20,2100,2,75.0,5669.0
21,2200,1,70.0,5700.0
21,2200,2,75.0,5669.0
22,2300,1,70.0,5700.0
22,2300,2,75.0,5669.0
23,2400,1,70.0,5700.0
23,2400,2,75.0,5669.0
24,2500,1,70.0,5700.0
24,2500,2,75.0,5669.0
25,2600,1,70.0,5700.0
25,2600,2,75.0,5669.0
26,2700,1,70.0,5700.0
26,2700,2,75.0,5669.0
27,2800,1,70.0,5700.0
27,2800,2,75.0,5669.0
28,2900,1,70.0,5700.0
28,2900,2,75.0,5669.0
29,3000,1,70.0,5700.0
29,3000,2,75.0,5669.0
30,3100,1,70.0,5700.0
30,3100,2,75.0,5669.0
31,3200,1,70.0,5700.0
31,3200,2,75.0,5669.0
32,3300,1,70.0,5696.0
32,3300,2,75.0,5669.0
33,3400,1,70.0,5696.0
33,3400,2,75.0,5669.0
34,3500,1,70.0,5696.0
34,3500,2,75.0,5669.0
35,3600,1,70.0,5696.0
35,3600,2,75.0,5669.0
36,3700,1,70.0,5696.0
36,3700,2,75.0,5669.0
37,3800,1,70.0,5696.0
