generation,fe,point_id,makespan,energy
0,100,1,101.0,6216.0
0,100,2,115.0,6166.0
0,100,3,125.0,6104.0
1,200,1,96.0,6006.0
2,300,1,96.0,6006.0
3,400,1,90.0,6400.0
3,400,2,96.0,6006.0
3,400,3,99.0,5915.0
4,500,1,90.0,6400.0
4,500,2,91.0,5935.0
4,500,3,93.0,5732.0
5,600,1,88.0,6065.0
5,600,2,91.0,5935.0
5,600,3,93.0,5732.0
6,700,1,86.0,5857.0
6,700,2,89.0,5848.0
6,700,3,93.0,5732.0
7,800,1,79.0,5682.0
8,900,1,79.0,5682.0
9,1000,1,79.0,5682.0
10,1100,1,79.0,5682.0
11,1200,1,75.0,5672.0
12,1300,1,74.0,5755.0
12,1300,2,75.0,5672.0
13,1400,1,74.0,5755.0
13,1400,2,75.0,5672.0
14,1500,1,74.0,5755.0
14,1500,2,75.0,5672.0
15,1600,1,74.0,5755.0
15,1600,2,75.0,5672.0
16,1700,1,74.0,5755.0
16,1700,2,75.0,5672.0
17,1800,1,74.0,5755.0
17,1800,2,75.0,5671.0
18,1900,1,74.0,5754.0
18,1900,2,75.0,5671.0
19,2000,1,74.0,5754.0
19,2000,2,75.0,5671.0
20,2100,1,74.0,5754.0
20,2100,2,75.0,5667.0
21,2200,1,74.0,5754.0
21,2200,2,75.0,5667.0
22,2300,1,74.0,5754.0
22,2300,2,75.0,5667.0
23,2400,1,74.0,5754.0
23,2400,2,75.0,5667.0
24,2500,1,74.0,5754.0
24,2500,2,75.0,5667.0
25,2600,1,74.0,5754.0
25,2600,2,75.0,5667.0
26,2700,1,74.0,5754.0
26,2700,2,75.0,5667.0
27,2800,1,74.0,5754.0
27,2800,2,75.0,5667.0
28,2900,1,74.0,5754.0
28,2900,2,75.0,5667.0
29,3000,1,74.0,5729.0
29,3000,2,75.0,5667.0
30,3100,1,74.0,5729.0
30,3100,2,75.0,5667.0
31,3200,1,74.0,5729.0
31,3200,2,75.0,5667.0
32,3300,1,74.0,5729.0
32,3300,2,75.0,5667.0
33,3400,1,74.0,5729.0
33,3400,2,75.0,5667.0
34,3500,1,74.0,5714.0
34,3500,2,75.0,5667.0
35,3600,1,74.0,5714.0
35,3600,2,75.0,5667.0
36,3700,1,74.0,5714.0
36,3700,2,75.0,5667.0
37,3800,1,74.0,5714.0
37,3800,2,75.0,5667.0
