generation,fe,point_id,makespan,energy
0,100,1,98.0,6282.0
0,100,2,110.0,6199.0
0,100,3,115.0,6077.0
1,200,1,98.0,6282.0
1,200,2,106.0,6270.0
1,200,3,110.0,6199.0
1,200,4,115.0,6077.0
2,300,1,98.0,6282.0
2,300,2,104.0,6274.0
2,300,3,106.0,6063.0
2,300,4,112.0,5983.0
3,400,1,98.0,6277.0
3,400,2,99.0,6155.0
3,400,3,106.0,6063.0
3,400,4,112.0,5983.0
4,500,1,94.0,5991.0
4,500,2,112.0,5983.0
5,600,1,94.0,5991.0
5,600,2,97.0,5936.0
5,600,3,123.0,5899.0
6,700,1,87.0,6123.0
6,700,2,91.0,6062.0
6,700,3,93.0,6003.0
6,700,4,94.0,5991.0
6,700,5,97.0,5936.0
6,700,6,109.0,5852.0
7,800,1,82.0,5872.0
7,800,2,105.0,5838.0
8,900,1,82.0,5872.0
8,900,2,88.0,5850.0
8,900,3,94.0,5821.0
9,1000,1,82.0,5872.0
9,1000,2,88.0,5850.0
9,1000,3,94.0,5821.0
10,1100,1,82.0,5872.0
10,1100,2,88.0,5850.0
10,1100,3,93.0,5812.0
10,1100,4,99.0,5797.0
11,1200,1,81.0,5722.0
12,1300,1,81.0,5722.0
13,1400,1,81.0,5722.0
14,1500,1,74.0,5758.0
14,1500,2,79.0,5747.0
14,1500,3,81.0,5722.0
15,1600,1,74.0,5700.0
15,1600,2,80.0,5695.0
16,1700,1,74.0,5700.0
16,1700,2,75.0,5673.0
17,1800,1,74.0,5694.0
17,1800,2,75.0,5673.0
18,1900,1,74.0,5694.0
18,1900,2,75.0,5671.0
19,2000,1,74.0,5694.0
19,2000,2,75.0,5671.0
20,2100,1,74.0,5694.0
20,2100,2,75.0,5671.0
21,2200,1,74.0,5694.0
21,2200,2,75.0,5671.0
22,2300,1,74.0,5694.0
22,2300,2,75.0,5669.0
23,2400,1,73.0,5777.0
23,2400,2,74.0,5694.0
23,2400,3,75.0,5669.0
24,2500,1,73.0,5777.0
24,2500,2,74.0,5694.0
24,2500,3,75.0,5669.0
25,2600,1,73.0,5777.0
25,2600,2,74.0,5694.0
25,2600,3,75.0,5669.0
26,2700,1,73.0,5777.0
26,2700,2,74.0,5694.0
26,2700,3,75.0,5669.0
27,2800,1,73.0,5777.0
27,2800,2,74.0,5694.0
27,2800,3,75.0,5669.0
28,2900,1,73.0,5777.0
28,2900,2,74.0,5694.0
28,2900,3,75.0,5669.0
29,3000,1,73.0,5777.0
29,3000,2,74.0,5694.0
29,3000,3,75.0,5669.0
30,3100,1,73.0,5773.0
30,3100,2,74.0,5694.0
30,3100,3,75.0,5669.0
31,3200,1,73.0,5773.0
31,3200,2,74.0,5694.0
31,3200,3,75.0,5669.0
32,3300,1,73.0,5773.0
32,3300,2,74.0,5694.0
32,3300,3,75.0,5669.0
33,3400,1,73.0,5773.0
33,3400,2,74.0,5694.0
33,3400,3,75.0,5669.0
34,3500,1,73.0,5773.0
34,3500,2,74.0,5694.0
34,3500,3,75.0,5669.0
35,3600,1,73.0,5773.0
35,3600,2,74.0,5694.0
35,3600,3,75.0,5669.0
36,3700,1,73.0,5773.0
36,3700,2,74.0,5694.0
36,3700,3,75.0,5669.0
37,3800,1,73.0,5773.0
37,3800,2,74.0,5694.0
37,3800,3,75.0,5669.0
38,3900,1,73.0,5773.0
38,3900,2,74.0,5694.0
38,3900,3,75.0,5669.0
39,4000,1,73.0,5773.0
39,4000,2,74.0,5694.0
39,4000,3,75.0,5669.0
40,4100,1,73.0,5773.0
40,4100,2,74.0,5694.0
40,4100,3,75.0,5669.0
41,4200,1,73.0,5773.0
41,4200,2,74.0,5694.0
41,4200,3,75.0,5669.0
42,4300,1,73.0,5773.0
42,4300,2,74.0,5694.0
42,4300,3,75.0,5669.0
43,4400,1,73.0,5773.0
43,4400,2,74.0,5694.0
43,4400,3,75.0,5669.0
44,4500,1,73.0,5773.0
44,4500,2,74.0,5694.0
44,4500,3,75.0,5669.0
45,4600,1,71.0,5751.0
45,4600,2,74.0,5694.0
45,4600,3,75.0,5669.0
46,4700,1,71.0,5751.0
46,4700,2,74.0,5694.0
46,4700,3,75.0,5669.0
47,4800,1,71.0,5751.0
47,4800,2,74.0,5694.0
47,4800,3,75.0,5669.0
48,4900,1,71.0,5751.0
48,4900,2,74.0,5694.0
48,4900,3,75.0,5669.0
49,5000,1,71.0,5751.0
49,5000,2,74.0,5694.0
49,5000,3,75.0,5669.0
50,5100,1,71.0,5751.0
50,5100,2,74.0,5694.0
50,5100,3,75.0,5669.0
51,5200,1,71.0,5751.0
51,5200,2,74.0,5694.0
51,5200,3,75.0,5669.0
52,5300,1,71.0,5751.0
52,5300,2,74.0,5694.0
52,5300,3,75.0,5669.0
53,5400,1,71.0,5751.0
53,5400,2,74.0,5694.0
53,5400,3,75.0,5669.0
54,5500,1,71.0,5751.0
54,5500,2,74.0,5694.0
54,5500,3,75.0,5669.0
55,5600,1,71.0,5751.0
55,5600,2,74.0,5694.0
55,5600,3,75.0,5669.0
56,5700,1,71.0,5751.0
