run_id,makespan,energy
1,74.0,5742.0
1,75.0,5673.0
1,76.0,5671.0
2,71.0,5751.0
2,77.0,5679.0
3,70.0,5696.0
3,75.0,5669.0
4,74.0,5665.0
5,73.0,5773.0
5,74.0,5694.0
5,75.0,5669.0
6,74.0,5714.0
6,75.0,5667.0
7,74.0,5714.0
7,75.0,5671.0
8,74.0,5676.0
8,75.0,5667.0
9,71.0,5751.0
9,74.0,5694.0
9,75.0,5669.0
10,71.0,5754.0
10,74.0,5694.0
10,75.0,5669.0
