generation,fe,point_id,makespan,energy
0,50,1,300.0,10351.5
1,180,1,298.0,10618.5
1,180,2,300.0,10351.5
2,310,1,289.0,10475.5
2,310,2,298.0,10326.5
2,310,3,309.0,10313.0
3,440,1,289.0,10475.5
3,440,2,293.0,10353.5
3,440,3,297.0,10232.0
4,570,1,274.0,10512.5
4,570,2,277.0,10266.0
4,570,3,278.0,10037.0
4,570,4,281.0,9988.0
5,700,1,248.0,9832.0
6,830,1,241.0,9450.0
7,960,1,241.0,9450.0
8,1090,1,235.0,9650.0
8,1090,2,241.0,9450.0
9,1220,1,218.0,9515.5
9,1220,2,241.0,9450.0
9,1220,3,243.0,9432.0
10,1350,1,218.0,9515.5
10,1350,2,229.0,9293.5
11,1480,1,218.0,9515.5
11,1480,2,220.0,9362.5
11,1480,3,228.0,9316.0
11,1480,4,229.0,9293.5
12,1610,1,214.0,9262.0
13,1740,1,214.0,9262.0
13,1740,2,218.0,9227.0
14,1870,1,210.0,9200.5
14,1870,2,218.0,9168.0
15,2000,1,208.0,9245.0
15,2000,2,209.0,9197.0
15,2000,3,210.0,9116.5
16,2130,1,207.0,9220.5
16,2130,2,208.0,9100.5
17,2260,1,201.0,9111.5
17,2260,2,208.0,9099.0
18,2390,1,198.0,9180.5
18,2390,2,201.0,9111.5
18,2390,3,202.0,9067.5
19,2520,1,196.0,9082.0
19,2520,2,199.0,9047.0
20,2650,1,196.0,9082.0
20,2650,2,199.0,9047.0
20,2650,3,200.0,9043.5
21,2780,1,196.0,9082.0
21,2780,2,199.0,9047.0
21,2780,3,200.0,9043.5
21,2780,4,203.0,9015.0
22,2910,1,193.0,9199.0
22,2910,2,194.0,9070.0
22,2910,3,195.0,9024.0
22,2910,4,202.0,9009.5
23,3040,1,193.0,9199.0
23,3040,2,194.0,8947.5
24,3170,1,193.0,9196.0
24,3170,2,194.0,8947.5
25,3300,1,192.0,8938.0
26,3430,1,186.0,9141.5
26,3430,2,192.0,8938.0
27,3560,1,186.0,9031.0
27,3560,2,191.0,8929.5
28,3690,1,186.0,9031.0
28,3690,2,187.0,8906.0
29,3820,1,186.0,9031.0
29,3820,2,187.0,8906.0
30,3950,1,181.0,9057.5
30,3950,2,182.0,8876.0
31,4080,1,181.0,8990.5
31,4080,2,182.0,8876.0
32,4210,1,178.0,8988.5
32,4210,2,181.0,8975.5
32,4210,3,182.0,8876.0
33,4340,1,176.0,8967.5
33,4340,2,181.0,8864.5
34,4470,1,176.0,8966.5
34,4470,2,179.0,8961.5
34,4470,3,181.0,8864.5
35,4600,1,176.0,8966.5
35,4600,2,179.0,8961.5
35,4600,3,181.0,8864.5
35,4600,4,184.0,8861.5
35,4600,5,187.0,8853.0
36,4730,1,172.0,8945.0
36,4730,2,176.0,8920.5
36,4730,3,181.0,8864.5
36,4730,4,184.0,8861.5
36,4730,5,186.0,8849.0
36,4730,6,188.0,8841.5
37,4860,1,172.0,8945.0
37,4860,2,176.0,8920.5
37,4860,3,181.0,8864.5
37,4860,4,184.0,8861.5
37,4860,5,186.0,8849.0
37,4860,6,188.0,8841.5
38,4990,1,172.0,8945.0
38,4990,2,176.0,8920.5
38,4990,3,181.0,8864.5
38,4990,4,184.0,8840.5
