generation,fe,point_id,makespan,energy
0,50,1,309.0,10820.0
0,50,2,328.0,10678.5
0,50,3,348.0,10573.0
1,180,1,287.0,10690.0
1,180,2,289.0,10687.5
1,180,3,306.0,10620.5
1,180,4,311.0,10435.0
2,310,1,270.0,10095.0
3,440,1,270.0,10095.0
3,440,2,312.0,10009.5
4,570,1,270.0,10095.0
4,570,2,312.0,10009.5
4,570,3,315.0,10007.0
5,700,1,270.0,10095.0
5,700,2,295.0,9858.5
6,830,1,270.0,10095.0
6,830,2,285.0,10062.0
6,830,3,293.0,9960.5
6,830,4,295.0,9858.5
7,960,1,258.0,9685.5
8,1090,1,258.0,9685.5
8,1090,2,276.0,9680.5
8,1090,3,280.0,9654.5
8,1090,4,293.0,9622.0
9,1220,1,258.0,9685.5
9,1220,2,260.0,9560.0
9,1220,3,276.0,9526.0
9,1220,4,277.0,9524.0
10,1350,1,254.0,9645.5
10,1350,2,260.0,9560.0
10,1350,3,272.0,9500.5
10,1350,4,288.0,9487.5
11,1480,1,244.0,9286.5
12,1610,1,244.0,9286.5
13,1740,1,242.0,9281.0
14,1870,1,240.0,9254.0
15,2000,1,235.0,9231.5
16,2130,1,231.0,9195.5
17,2260,1,224.0,9142.5
18,2390,1,224.0,9142.5
19,2520,1,224.0,9091.0
20,2650,1,222.0,9070.5
21,2780,1,221.0,9124.5
21,2780,2,222.0,9070.5
22,2910,1,221.0,9065.0
23,3040,1,216.0,9042.0
24,3170,1,214.0,9083.5
24,3170,2,216.0,9041.0
25,3300,1,214.0,9083.5
25,3300,2,216.0,9041.0
26,3430,1,214.0,9027.0
27,3560,1,210.0,9001.0
28,3690,1,208.0,9026.0
28,3690,2,209.0,9023.0
28,3690,3,210.0,9001.0
29,3820,1,208.0,9026.0
29,3820,2,209.0,9023.0
29,3820,3,210.0,8999.0
30,3950,1,208.0,9026.0
30,3950,2,209.0,9023.0
30,3950,3,210.0,8999.0
31,4080,1,208.0,9017.0
31,4080,2,209.0,9008.0
31,4080,3,210.0,8999.0
32,4210,1,208.0,9017.0
32,4210,2,209.0,8996.0
32,4210,3,210.0,8984.0
33,4340,1,208.0,8996.5
33,4340,2,209.0,8993.0
33,4340,3,210.0,8984.0
34,4470,1,203.0,9002.0
34,4470,2,206.0,8976.0
35,4600,1,203.0,9002.0
35,4600,2,206.0,8976.0
36,4730,1,203.0,9002.0
36,4730,2,206.0,8976.0
37,4860,1,199.0,8982.5
37,4860,2,206.0,8976.0
38,4990,1,198.0,8977.5
38,4990,2,206.0,8976.0
38,4990,3,207.0,8975.0
39,5120,1,198.0,8977.5
39,5120,2,205.0,8968.5
40,5250,1,198.0,8977.5
40,5250,2,205.0,8968.5
41,5380,1,195.0,8907.5
42,5510,1,195.0,8907.5
43,5640,1,195.0,8907.5
