generation,fe,point_id,makespan,energy
0,50,1,296.0,10636.5
1,180,1,296.0,10636.5
1,180,2,339.0,10368.5
2,310,1,269.0,10457.5
2,310,2,279.0,10444.0
2,310,3,294.0,10103.5
3,440,1,269.0,10457.5
3,440,2,274.0,10371.5
3,440,3,277.0,10105.5
3,440,4,294.0,10058.0
4,570,1,269.0,10457.5
4,570,2,274.0,10371.5
4,570,3,277.0,10105.5
4,570,4,279.0,10051.0
4,570,5,308.0,10027.5
4,570,6,311.0,10001.5
5,700,1,269.0,10457.5
5,700,2,270.0,10316.5
5,700,3,271.0,10026.5
5,700,4,285.0,9836.0
6,830,1,256.0,9844.5
6,830,2,274.0,9794.0
7,960,1,246.0,9793.5
7,960,2,265.0,9650.0
8,1090,1,239.0,9754.5
8,1090,2,241.0,9525.0
9,1220,1,233.0,9588.0
9,1220,2,241.0,9525.0
9,1220,3,243.0,9497.5
10,1350,1,233.0,9588.0
10,1350,2,235.0,9404.0
10,1350,3,236.0,9401.0
11,1480,1,218.0,9399.5
12,1610,1,218.0,9399.5
13,1740,1,211.0,9530.0
13,1740,2,215.0,9335.0
14,1870,1,211.0,9407.0
14,1870,2,212.0,9377.0
14,1870,3,215.0,9335.0
15,2000,1,202.0,9352.5
15,2000,2,208.0,9351.0
15,2000,3,215.0,9335.0
15,2000,4,218.0,9323.5
15,2000,5,222.0,9287.5
16,2130,1,198.0,9429.0
16,2130,2,202.0,9352.5
16,2130,3,205.0,9266.5
16,2130,4,212.0,9263.0
17,2260,1,197.0,9314.0
17,2260,2,198.0,9110.5
18,2390,1,197.0,9314.0
18,2390,2,198.0,9110.5
19,2520,1,197.0,9125.5
19,2520,2,198.0,9110.5
20,2650,1,190.0,9326.0
20,2650,2,195.0,9160.0
20,2650,3,197.0,9125.5
20,2650,4,198.0,9110.5
21,2780,1,190.0,9326.0
21,2780,2,195.0,9160.0
21,2780,3,197.0,9125.5
21,2780,4,198.0,9110.5
22,2910,1,184.0,9119.0
22,2910,2,191.0,9090.0
23,3040,1,184.0,9119.0
23,3040,2,187.0,9070.5
24,3170,1,184.0,9119.0
24,3170,2,187.0,9066.5
24,3170,3,193.0,9025.0
25,3300,1,184.0,9119.0
25,3300,2,187.0,9066.5
25,3300,3,191.0,9019.5
26,3430,1,184.0,9119.0
26,3430,2,185.0,9051.5
26,3430,3,191.0,9019.5
27,3560,1,181.0,9193.0
27,3560,2,184.0,9119.0
27,3560,3,185.0,8995.5
28,3690,1,180.0,9017.0
28,3690,2,181.0,8968.5
29,3820,1,177.0,9069.5
29,3820,2,180.0,9017.0
29,3820,3,181.0,8968.5
30,3950,1,177.0,9069.5
30,3950,2,180.0,9010.5
30,3950,3,181.0,8968.5
30,3950,4,187.0,8953.5
31,4080,1,177.0,9069.5
31,4080,2,180.0,8957.0
31,4080,3,187.0,8953.5
31,4080,4,190.0,8949.5
32,4210,1,173.0,8907.5
33,4340,1,173.0,8907.5
34,4470,1,172.0,8961.5
34,4470,2,173.0,8904.5
35,4600,1,172.0,8961.5
35,4600,2,173.0,8831.5
36,4730,1,171.0,9030.5
36,4730,2,172.0,8961.5
36,4730,3,173.0,8831.5
37,4860,1,171.0,9030.5
37,4860,2,172.0,8961.5
37,4860,3,173.0,8823.0
38,4990,1,171.0,8954.5
38,4990,2,172.0,8893.0
38,4990,3,173.0,8823.0
39,5120,1,170.0,9024.5
39,5120,2,171.0,8946.0
39,5120,3,172.0,8825.5
39,5120,4,173.0,8823.0
40,5250,1,170.0,8948.5
40,5250,2,171.0,8946.0
40,5250,3,172.0,8825.5
