generation,fe,point_id,makespan,energy
0,50,1,298.0,10665.0
0,50,2,321.0,10517.0
1,180,1,296.0,10578.0
1,180,2,315.0,10296.0
2,310,1,269.0,9802.5
3,440,1,269.0,9802.5
4,570,1,269.0,9802.5
5,700,1,269.0,9802.5
6,830,1,267.0,9981.0
6,830,2,269.0,9802.5
7,960,1,255.0,10040.0
7,960,2,267.0,9981.0
7,960,3,269.0,9802.5
7,960,4,278.0,9778.5
7,960,5,289.0,9720.0
7,960,6,296.0,9666.5
8,1090,1,252.0,9916.5
8,1090,2,264.0,9721.0
8,1090,3,282.0,9583.5
9,1220,1,250.0,9484.5
9,1220,2,256.0,9398.5
10,1350,1,244.0,9784.0
10,1350,2,250.0,9484.5
10,1350,3,256.0,9398.5
10,1350,4,261.0,9391.5
11,1480,1,235.0,9604.0
11,1480,2,246.0,9362.0
12,1610,1,225.0,9286.0
12,1610,2,233.0,9246.0
13,1740,1,225.0,9286.0
13,1740,2,232.0,9240.0
14,1870,1,225.0,9286.0
14,1870,2,232.0,9240.0
15,2000,1,221.0,9323.5
15,2000,2,222.0,9262.5
15,2000,3,232.0,9238.5
15,2000,4,243.0,9234.0
16,2130,1,216.0,9225.0
16,2130,2,231.0,9221.0
17,2260,1,213.0,9212.5
17,2260,2,228.0,9205.0
18,2390,1,213.0,9212.5
18,2390,2,224.0,9180.0
19,2520,1,213.0,9212.5
19,2520,2,223.0,9172.0
20,2650,1,205.0,9163.5
21,2780,1,205.0,9163.5
22,2910,1,205.0,9163.5
23,3040,1,204.0,9155.0
23,3040,2,220.0,9152.0
24,3170,1,202.0,9144.5
24,3170,2,225.0,9141.0
25,3300,1,202.0,9144.5
25,3300,2,224.0,9121.5
26,3430,1,202.0,9144.5
26,3430,2,204.0,9108.5
27,3560,1,199.0,9179.0
27,3560,2,202.0,9144.5
27,3560,3,204.0,9106.0
28,3690,1,195.0,9154.0
28,3690,2,202.0,9144.5
28,3690,3,203.0,9100.0
29,3820,1,195.0,9154.0
29,3820,2,202.0,9095.5
30,3950,1,195.0,9154.0
30,3950,2,202.0,9095.5
31,4080,1,195.0,9105.0
31,4080,2,200.0,9081.0
32,4210,1,195.0,9105.0
32,4210,2,200.0,9081.0
33,4340,1,195.0,9103.0
33,4340,2,200.0,9079.5
34,4470,1,195.0,9103.0
34,4470,2,200.0,9079.5
35,4600,1,195.0,9103.0
35,4600,2,200.0,9079.5
36,4730,1,195.0,9103.0
36,4730,2,196.0,9051.5
36,4730,3,210.0,9008.0
37,4860,1,192.0,9082.0
37,4860,2,196.0,9051.5
37,4860,3,210.0,9008.0
38,4990,1,192.0,9082.0
38,4990,2,196.0,9051.5
38,4990,3,207.0,8986.0
39,5120,1,192.0,9082.0
39,5120,2,196.0,9051.5
39,5120,3,202.0,8954.0
40,5250,1,192.0,9082.0
40,5250,2,194.0,9037.5
40,5250,3,202.0,8954.0
41,5380,1,192.0,9079.5
41,5380,2,194.0,9037.5
41,5380,3,202.0,8954.0
42,5510,1,192.0,9079.5
42,5510,2,194.0,9037.5
42,5510,3,201.0,8952.0
43,5640,1,188.0,9054.5
43,5640,2,194.0,9037.0
43,5640,3,201.0,8952.0
44,5770,1,188.0,9054.5
44,5770,2,193.0,9031.0
44,5770,3,201.0,8948.0
45,5900,1,188.0,9054.5
45,5900,2,193.0,9031.0
45,5900,3,201.0,8947.5
46,6030,1,186.0,9051.0
46,6030,2,193.0,9031.0
46,6030,3,200.0,8944.5
47,6160,1,186.0,9051.0
47,6160,2,193.0,9031.0
47,6160,3,200.0,8944.5
48,6290,1,186.0,9051.0
48,6290,2,193.0,9031.0
48,6290,3,200.0,8944.5
49,6420,1,185.0,9045.0
49,6420,2,193.0,9031.0
49,6420,3,200.0,8944.5
50,6550,1,185.0,9045.0
50,6550,2,190.0,9010.0
50,6550,3,200.0,8944.5
51,6680,1,185.0,9045.0
51,6680,2,190.0,9010.0
51,6680,3,193.0,8964.5
51,6680,4,197.0,8919.5
52,6810,1,185.0,9045.0
52,6810,2,190.0,9010.0
52,6810,3,193.0,8964.5
52,6810,4,197.0,8919.5
53,6940,1,185.0,9045.0
53,6940,2,189.0,9002.0
53,6940,3,193.0,8964.5
53,6940,4,197.0,8919.5
54,7070,1,185.0,9045.0
54,7070,2,189.0,9002.0
54,7070,3,193.0,8964.5
54,7070,4,196.0,8916.0
55,7200,1,185.0,9032.0
55,7200,2,189.0,9002.0
55,7200,3,193.0,8964.5
55,7200,4,196.0,8916.0
55,7200,5,197.0,8860.0
56,7330,1,184.0,9034.0
56,7330,2,185.0,9032.0
56,7330,3,189.0,8933.5
56,7330,4,195.0,8916.0
56,7330,5,197.0,8860.0
57,7460,1,184.0,9034.0
57,7460,2,185.0,9032.0
57,7460,3,189.0,8933.5
57,7460,4,193.0,8902.5
57,7460,5,197.0,8860.0
58,7590,1,184.0,9034.0
58,7590,2,185.0,9032.0
58,7590,3,189.0,8874.0
58,7590,4,193.0,8844.0
59,7720,1,184.0,9034.0
59,7720,2,185.0,9032.0
59,7720,3,189.0,8874.0
59,7720,4,193.0,8844.0
60,7850,1,184.0,9026.0
60,7850,2,189.0,8874.0
60,7850,3,193.0,8844.0
61,7980,1,180.0,9104.0
61,7980,2,184.0,9026.0
61,7980,3,186.0,8986.5
61,7980,4,189.0,8874.0
61,7980,5,193.0,8844.0
62,8110,1,180.0,9104.0
62,8110,2,183.0,8913.0
62,8110,3,189.0,8874.0
62,8110,4,193.0,8844.0
63,8240,1,180.0,9104.0
63,8240,2,183.0,8913.0
63,8240,3,189.0,8874.0
63,8240,4,193.0,8844.0
64,8370,1,180.0,9104.0
64,8370,2,181.0,8956.5
64,8370,3,183.0,8913.0
64,8370,4,186.0,8857.5
64,8370,5,193.0,8841.5
65,8500,1,177.0,9026.5
