generation,fe,point_id,makespan,energy
0,50,1,315.0,11065.0
0,50,2,320.0,10998.0
0,50,3,321.0,10924.5
0,50,4,335.0,10713.5
0,50,5,352.0,10640.0
1,180,1,266.0,10615.0
1,180,2,303.0,10402.0
2,310,1,266.0,10615.0
2,310,2,303.0,10402.0
2,310,3,314.0,10378.0
3,440,1,263.0,10408.0
3,440,2,270.0,10156.0
3,440,3,284.0,10114.5
4,570,1,263.0,10408.0
4,570,2,270.0,10106.0
5,700,1,246.0,10323.0
5,700,2,270.0,10106.0
5,700,3,275.0,10086.0
5,700,4,292.0,9977.0
6,830,1,246.0,10323.0
6,830,2,248.0,9896.5
6,830,3,250.0,9864.0
6,830,4,273.0,9808.5
7,960,1,242.0,10265.0
7,960,2,245.0,10259.5
7,960,3,248.0,9896.5
7,960,4,250.0,9864.0
7,960,5,269.0,9712.0
8,1090,1,233.0,10165.5
8,1090,2,234.0,9856.0
8,1090,3,236.0,9738.0
8,1090,4,258.0,9640.0
9,1220,1,233.0,10165.5
9,1220,2,234.0,9856.0
9,1220,3,236.0,9738.0
9,1220,4,244.0,9578.0
10,1350,1,228.0,10141.5
10,1350,2,233.0,9873.5
10,1350,3,234.0,9856.0
10,1350,4,236.0,9738.0
10,1350,5,244.0,9578.0
11,1480,1,228.0,10141.5
11,1480,2,231.0,9889.5
11,1480,3,233.0,9873.5
11,1480,4,234.0,9856.0
11,1480,5,235.0,9443.5
12,1610,1,218.0,9285.5
13,1740,1,212.0,9252.0
14,1870,1,212.0,9246.5
15,2000,1,212.0,9246.5
16,2130,1,203.0,9183.0
17,2260,1,197.0,9147.0
18,2390,1,197.0,9147.0
19,2520,1,193.0,9113.0
20,2650,1,193.0,9113.0
21,2780,1,193.0,9113.0
21,2780,2,197.0,9036.0
22,2910,1,192.0,9117.0
22,2910,2,193.0,9005.5
23,3040,1,190.0,9228.5
23,3040,2,192.0,9117.0
23,3040,3,193.0,9005.5
24,3170,1,190.0,9228.5
24,3170,2,192.0,9107.5
24,3170,3,193.0,9005.5
25,3300,1,190.0,9228.5
25,3300,2,192.0,9002.0
26,3430,1,190.0,9228.5
26,3430,2,192.0,9002.0
27,3560,1,184.0,9188.5
27,3560,2,190.0,9121.0
27,3560,3,192.0,9002.0
27,3560,4,197.0,8990.0
28,3690,1,184.0,9081.0
28,3690,2,191.0,8996.5
28,3690,3,196.0,8986.0
29,3820,1,184.0,9081.0
29,3820,2,191.0,8996.5
29,3820,3,195.0,8982.5
30,3950,1,182.0,8936.5
31,4080,1,182.0,8936.5
32,4210,1,182.0,8936.5
32,4210,2,187.0,8933.5
33,4340,1,182.0,8936.5
33,4340,2,185.0,8917.0
34,4470,1,182.0,8936.5
34,4470,2,185.0,8917.0
35,4600,1,182.0,8936.5
35,4600,2,185.0,8917.0
36,4730,1,180.0,8891.5
37,4860,1,179.0,8879.0
38,4990,1,179.0,8879.0
39,5120,1,179.0,8879.0
40,5250,1,179.0,8879.0
41,5380,1,179.0,8879.0
42,5510,1,179.0,8878.0
43,5640,1,179.0,8878.0
44,5770,1,179.0,8878.0
45,5900,1,179.0,8874.5
46,6030,1,176.0,8857.0
46,6030,2,179.0,8842.0
47,6160,1,176.0,8857.0
47,6160,2,179.0,8842.0
48,6290,1,172.0,8835.0
49,6420,1,172.0,8833.5
49,6420,2,176.0,8823.0
50,6550,1,172.0,8833.5
50,6550,2,176.0,8821.0
51,6680,1,170.0,8819.0
51,6680,2,173.0,8801.0
52,6810,1,170.0,8819.0
52,6810,2,173.0,8801.0
53,6940,1,170.0,8819.0
53,6940,2,173.0,8801.0
54,7070,1,169.0,8813.0
54,7070,2,173.0,8801.0
55,7200,1,169.0,8813.0
55,7200,2,173.0,8801.0
56,7330,1,169.0,8813.0
56,7330,2,173.0,8801.0
57,7460,1,169.0,8813.0
57,7460,2,172.0,8795.0
58,7590,1,169.0,8813.0
58,7590,2,172.0,8795.0
59,7720,1,169.0,8813.0
59,7720,2,172.0,8795.0
60,7850,1,169.0,8813.0
60,7850,2,172.0,8795.0
61,7980,1,169.0,8813.0
61,7980,2,172.0,8795.0
62,8110,1,169.0,8813.0
62,8110,2,172.0,8795.0
62,8110,3,175.0,8786.5
63,8240,1,169.0,8813.0
63,8240,2,172.0,8795.0
63,8240,3,175.0,8786.5
64,8370,1,169.0,8813.0
64,8370,2,171.0,8789.0
64,8370,3,175.0,8786.5
65,8500,1,169.0,8813.0
65,8500,2,171.0,8789.0
65,8500,3,175.0,8786.5
66,8630,1,168.0,8811.0
66,8630,2,171.0,8789.0
66,8630,3,175.0,8786.5
67,8760,1,168.0,8811.0
67,8760,2,171.0,8789.0
67,8760,3,175.0,8786.5
68,8890,1,168.0,8811.0
68,8890,2,171.0,8789.0
68,8890,3,175.0,8786.5
69,9020,1,168.0,8811.0
69,9020,2,171.0,8789.0
69,9020,3,174.0,8780.5
70,9150,1,168.0,8811.0
70,9150,2,171.0,8789.0
70,9150,3,174.0,8780.5
71,9280,1,168.0,8811.0
71,9280,2,171.0,8789.0
71,9280,3,174.0,8780.5
72,9410,1,168.0,8811.0
72,9410,2,171.0,8789.0
72,9410,3,174.0,8780.5
73,9540,1,166.0,8799.0
73,9540,2,170.0,8787.0
73,9540,3,174.0,8780.5
74,9670,1,166.0,8799.0
74,9670,2,170.0,8787.0
74,9670,3,174.0,8780.5
75,9800,1,166.0,8799.0
75,9800,2,170.0,8787.0
75,9800,3,174.0,8780.5
76,9930,1,166.0,8799.0
76,9930,2,170.0,8787.0
76,9930,3,174.0,8780.5
77,10060,1,166.0,8799.0
77,10060,2,170.0,8786.5
77,10060,3,174.0,8780.5
78,10190,1,166.0,8799.0
78,10190,2,170.0,8786.5
78,10190,3,174.0,8780.5
79,10320,1,166.0,8799.0
79,10320,2,170.0,8786.5
79,10320,3,174.0,8766.5
80,10450,1,166.0,8798.5
80,10450,2,170.0,8786.5
80,10450,3,174.0,8766.5
81,10580,1,166.0,8798.5
81,10580,2,170.0,8786.5
81,10580,3,174.0,8766.5
82,10710,1,166.0,8798.5
82,10710,2,170.0,8786.5
82,10710,3,174.0,8766.5
83,10840,1,166.0,8798.5
83,10840,2,170.0,8786.5
83,10840,3,174.0,8766.5
84,10970,1,166.0,8798.5
84,10970,2,170.0,8786.5
84,10970,3,174.0,8766.0
85,11100,1,166.0,8798.5
85,11100,2,170.0,8786.5
85,11100,3,173.0,8778.0
85,11100,4,174.0,8766.0
86,11230,1,166.0,8798.5
86,11230,2,170.0,8786.5
86,11230,3,173.0,8778.0
86,11230,4,174.0,8766.0
87,11360,1,166.0,8798.5
87,11360,2,170.0,8786.5
87,11360,3,173.0,8778.0
87,11360,4,174.0,8766.0
