generation,fe,point_id,makespan,energy
0,50,1,316.0,11071.5
0,50,2,324.0,10933.0
0,50,3,328.0,10427.5
1,180,1,306.0,11034.0
1,180,2,324.0,10933.0
1,180,3,327.0,10524.5
1,180,4,328.0,10427.5
2,310,1,289.0,10559.0
2,310,2,306.0,10488.5
2,310,3,313.0,10437.5
2,310,4,315.0,10398.0
3,440,1,286.0,10176.5
3,440,2,314.0,10165.0
4,570,1,257.0,9977.0
4,570,2,266.0,9927.5
5,700,1,247.0,9830.0
6,830,1,247.0,9830.0
6,830,2,260.0,9756.5
7,960,1,237.0,9775.5
7,960,2,242.0,9638.5
8,1090,1,231.0,9590.0
9,1220,1,209.0,9456.0
10,1350,1,209.0,9456.0
11,1480,1,209.0,9456.0
12,1610,1,209.0,9456.0
13,1740,1,205.0,9432.0
14,1870,1,205.0,9432.0
14,1870,2,206.0,9377.0
15,2000,1,202.0,9345.5
16,2130,1,202.0,9345.5
17,2260,1,202.0,9345.5
18,2390,1,200.0,9394.5
18,2390,2,202.0,9345.5
19,2520,1,200.0,9338.0
20,2650,1,197.0,9374.5
20,2650,2,200.0,9338.0
21,2780,1,197.0,9374.5
21,2780,2,200.0,9338.0
22,2910,1,197.0,9374.5
22,2910,2,199.0,9335.5
23,3040,1,197.0,9374.5
23,3040,2,199.0,9335.5
24,3170,1,197.0,9374.5
24,3170,2,199.0,9335.5
25,3300,1,196.0,9370.0
25,3300,2,199.0,9335.5
26,3430,1,196.0,9370.0
26,3430,2,199.0,9335.5
27,3560,1,195.0,9361.5
27,3560,2,198.0,9330.0
28,3690,1,194.0,9353.0
28,3690,2,196.0,9322.5
29,3820,1,194.0,9353.0
29,3820,2,196.0,9322.5
29,3820,3,201.0,9293.5
30,3950,1,192.0,9349.5
30,3950,2,196.0,9322.5
30,3950,3,200.0,9292.0
31,4080,1,192.0,9349.5
31,4080,2,195.0,9325.5
31,4080,3,196.0,9322.5
31,4080,4,200.0,9292.0
31,4080,5,203.0,9251.0
32,4210,1,192.0,9349.5
32,4210,2,195.0,9325.5
32,4210,3,196.0,9322.5
32,4210,4,200.0,9292.0
32,4210,5,201.0,9237.5
33,4340,1,192.0,9349.5
33,4340,2,193.0,9310.5
33,4340,3,199.0,9280.0
33,4340,4,201.0,9237.5
34,4470,1,192.0,9349.5
34,4470,2,193.0,9310.5
34,4470,3,196.0,9271.0
34,4470,4,201.0,9237.5
35,4600,1,192.0,9349.5
35,4600,2,193.0,9303.5
35,4600,3,196.0,9271.0
35,4600,4,198.0,9228.5
36,4730,1,192.0,9342.5
36,4730,2,193.0,9303.5
36,4730,3,194.0,9279.5
36,4730,4,196.0,9271.0
36,4730,5,198.0,9228.5
36,4730,6,206.0,9218.5
37,4860,1,192.0,9342.5
37,4860,2,193.0,9303.5
37,4860,3,194.0,9279.5
37,4860,4,196.0,9271.0
37,4860,5,198.0,9228.5
37,4860,6,203.0,9223.5
37,4860,7,206.0,9218.5
38,4990,1,192.0,9342.5
38,4990,2,193.0,9303.5
38,4990,3,194.0,9279.5
38,4990,4,196.0,9234.0
38,4990,5,198.0,9228.5
38,4990,6,202.0,9182.0
39,5120,1,192.0,9342.5
39,5120,2,193.0,9303.5
39,5120,3,194.0,9272.5
39,5120,4,196.0,9234.0
39,5120,5,198.0,9228.5
39,5120,6,202.0,9182.0
39,5120,7,204.0,9175.0
40,5250,1,192.0,9342.5
40,5250,2,193.0,9303.5
40,5250,3,194.0,9272.5
